first_input,second_input,output,real
wind,wind,tornado,TRUE
fire,fire,volcano,TRUE
water,water,lake,TRUE
wind,earth,dust,TRUE
earth,water,plant,TRUE
earth,earth,mountain,TRUE
wind,fire,smoke,TRUE
water,fire,steam,TRUE
water,wind,wave,TRUE
earth,fire,lava,TRUE
dust,earth,planet,TRUE
water,lake,ocean,TRUE
lake,lake,ocean,TRUE
earth,lake,swamp,TRUE
plant,water,swamp,TRUE
wind,tornado,tornado,TRUE
steam,tornado,tornado,TRUE
earth,mountain,volcano,TRUE
fire,lake,volcano,TRUE
fire,tornado,volcano,TRUE
fire,mountain,volcano,TRUE
mountain,tornado,volcano,TRUE
fire,lava,volcano,TRUE
wind,lava,volcano,TRUE
lake,lava,volcano,TRUE
lava,lava,volcano,TRUE
lava,tornado,volcano,TRUE
mountain,lava,volcano,TRUE
steam,lava,volcano,TRUE
steam,mountain,volcano,TRUE
smoke,fire,volcano,TRUE
smoke,earth,volcano,TRUE
smoke,tornado,volcano,TRUE
smoke,mountain,volcano,TRUE
smoke,lava,volcano,TRUE
plant,lava,volcano,TRUE
dust,mountain,volcano,TRUE
dust,lava,volcano,TRUE
water,tornado,tsunami,TRUE
lake,tornado,tsunami,TRUE
wave,water,tsunami,TRUE
wave,lake,tsunami,TRUE
wave,tornado,tsunami,TRUE
wave,mountain,tsunami,TRUE
wave,wave,tsunami,TRUE
plant,earth,tree,TRUE
plant,mountain,tree,TRUE
plant,plant,tree,TRUE
mountain,water,lake,TRUE
earth,tornado,dust,TRUE
smoke,dust,dust,TRUE
plant,tornado,dust,TRUE
wind,lake,storm,TRUE
wave,wind,storm,TRUE
earth,lava,stone,TRUE
water,lava,stone,TRUE
wave,lava,stone,TRUE
volcano,volcano,mountain,TRUE
plant,fire,smoke,TRUE
wave,fire,steam,TRUE
dust,dust,sand,TRUE
dust,wave,sand,TRUE
wave,earth,sand,TRUE
dust,fire,ash,TRUE
dust,volcano,ash,TRUE
fire,volcano,lava,TRUE
earth,volcano,lava,TRUE
water,volcano,lava,TRUE
mountain,volcano,lava,TRUE
